Película,Año,Timestamp,Duración (seg.),Escena,Personaje,Género,Edad,Protagonismo,Narrativa,Causa,Emoción,Reacción social,Responsabilidad atribuida
El viento se levanta,2013,1:29:40,2,Kurokawa se burla que Jiro este comprometido,Kurokawa,Secundario,Adulto,Masculino,Desarrollo ,Evento positivo,Humor,Ignorado,Amigo cercano
El viento se levanta,2013,1:31:48,2,Jiro descubre que Nahoko tuvo una hemorragia. Muchas lágrimas!!,Jiro,Protagonista,Adulto,Masculino,Desarrollo ,Dolor psicológico,Tristeza,No aplica,Familiar/pariente
El viento se levanta,2013,1:32:17,10,Trayecto de Jiro a Tokio,Jiro,Protagonista,Adulto,Masculino,Desarrollo ,Dolor psicológico,Tristeza,No aplica,Familiar/pariente
El viento se levanta,2013,1:33:55,2,Nahoko encontrandose con Jiro,Nahoko Satomi ,Protagonista,Adulto,Femenino,Desarrollo ,Dolor psicológico/Dolor físico,Tristeza,Palabras de apoyo,Familiar/pariente
El viento se levanta,2013,1:45:52,2,Nahoko llora al finalmente casarse con Jiro,Nahoko Satomi ,Protagonista,Adulto,Femenino,Desarrollo ,Evento positivo,Gratitud,Palabras de apoyo,Amigo cercano
El viento se levanta,2013,1:48:08,4,Kayo llorando por la manera en la que Jiro deja sola a Nahoko ,Kayo,Secundario,Adulto,Femenino,Desarrollo ,Dolor psicológico,Frustración ,No sabe como comportar,Familiar/pariente
El viento se levanta,2013,1:57:06,6,Kayo llorando tras la partida de Nahoko,Kayo,Secundario,Adulto,Femenino,Climax,Pérdida,Duelo,No aplica,Familiar/pariente
El niño y la garza,2023,0:12:40,23,Mahito llora por un pesadilla que recrea la muerte de su madre,Mahito,Protagonista,Joven,Masculino ,Inicio,Pérdida,Tristeza,No aplica,Destino/fuerzas
El niño y la garza,2023,0:34:41,3,"Natsuko llora porque lastimaron a Mahito, el hijo de su hermana",Natsuko,Secundario,Adulto,Femenino,Desarrollo,Decepción personal,Tristeza,Palabras de apoyo,Familiar/pariente
El niño y la garza,2023,0:40:50,10,Mahito llora leyendo un libro que le dejo su madre,Mahito,Protagonista,Joven,Masculino ,Desarrollo,Dolor psicológico,Tristeza,No aplica,Familiar/pariente
El niño y la garza,2023,0:46:12,6,Mahito llora al encontrar el cuerpo desmayado de su madre en la guarida de la garza,Mahito,Protagonista,Joven,Masculino ,Desarrollo,Evento positivo,Asombro,Ignorado,Familiar/pariente
El niño y la garza,2023,1:07:53,3,Kiriko llora por la asunción de los warawara,Kiriko,Secundario,Adulto,Femenino,Desarrollo,Evento positivo,Felicidad,Ignorado,Destino/fuerzas
El niño y la garza,2023,1:45:41,3,Asombrados por llegar al paraíso,Periquitos,Secundario,Adulto,Masculino ,Desarrollo,Evento positivo,Asombro,Ignorado,Destino/fuerzas
El niño y la garza,2023,1:49:53,6,Reencuentro con Mahito,Himi,Protagonista,Joven,Femenino,Climax,Evento positivo,Cariño,Confort físico,Familiar/pariente
El niño y la garza,2023,1:54:42,3,La perdida de su tío abuelo,Himi,Protagonista,Joven,Femenino,Climax,Pérdida,Tristeza,Confort físico,Familiar/pariente
